     430   -0.851   -4.282    1.890
     431   -1.958   -3.865    3.448
     432   -0.923   -3.397    2.512
     433   -2.710   -5.862    3.377
     434   -0.594   -3.487    3.295
     435    0.800   -6.287    2.034
     436    6.504   -5.104    1.426
     437    1.607   -7.610    3.045
     438   -0.001   -6.967    3.674
     439    4.227   -5.729    2.199
     440    1.584   -3.999    4.286
     441   -3.029   -4.570    5.257
     442    0.951   -3.918    2.733
     443   -0.592   -2.017    2.907
     444    0.664   -5.328    4.357
     445    1.559   -4.878    2.676
     446   -0.511   -8.419    4.127
     447    0.538   -7.605    5.495
     448    2.528   -7.544    3.236
     449    2.682   -5.891    1.728
     450    2.960   -7.437    3.625
     451   -1.019   -7.413    4.727
     452   -2.294   -7.958    5.595
     453   -4.346   -5.412    5.529
     454   -1.737   -6.711    5.582
     455   -1.826   -6.587    5.396
     456   -1.840  -10.268    5.722
     457    0.281   -7.337    4.877
     458   -2.569   -8.251    5.663
     459   -4.691   -6.689    4.815
     460   -3.883   -4.748    4.576
     461   -4.730   -6.267    6.347
     462   -4.747   -7.472    6.255
     463   -0.211   -5.547    4.018
     464   -2.385   -5.948    4.669
     465   -4.701   -8.382    5.999
     466   -0.753   -7.307    3.863
     467   -0.950   -8.992    4.271
     468   -3.869   -7.645    4.218
     469   -2.526   -6.029    4.580
     470    1.256   -7.478    5.286
     471    1.366   -8.477    3.933
     472    2.385   -8.412    3.408
     473   -0.057   -8.313    4.828
     474   -0.554   -8.767    4.741
     475   -0.636   -7.993    5.555
     476   -1.396   -9.405    6.632
     477   -1.811  -10.663    5.707
     478   -2.541  -10.088    8.047
     479   -2.678  -11.537    8.015
     480   -5.541   -9.427    8.254
     481   -3.861   -8.823    7.059
     482   -1.484   -9.895    6.716
     483   -2.598   -9.661    7.673
     484   -0.103  -12.210    6.745
     485   -1.430  -11.519    5.891
     486   -1.094  -11.948    6.917
     487   -2.604  -10.843    8.635
     488   -4.656  -10.224    7.724
     489   -4.694   -9.414    7.153
     490   -3.686  -12.409    9.110
     491   -2.201  -12.186    8.604
     492   -3.716  -11.735    7.975
     493   -2.840   -9.707    6.337
     494    0.714  -10.792    7.442
     495   -2.875   -9.430    7.416
     496   -1.401   -9.244    7.407
     497   -3.298   -8.776    8.126
     498   -2.202  -10.507    7.146
     499   -3.343   -9.730    6.286
     500   -4.504   -9.421    8.283
     501   -4.481   -9.427    8.816
     502   -3.756   -9.755    7.339
     503    0.054   -8.038    5.442
     504   -2.308   -7.331    6.359
     505   -4.632   -8.477    7.360
     506   -3.685   -7.793    6.002
     507   -2.022  -10.343    6.502
     508    2.465   -9.866    5.477
     509    1.185   -9.328    6.409
     510   -1.639   -8.065    7.399
     511   -0.511   -8.728    6.894
     512    4.308   -8.743    3.821
     513    2.839   -7.977    4.059
     514    3.881   -6.881    6.389
     515    2.378   -8.677    4.367
     516    3.739   -8.881    5.205
     517    3.483  -10.474    6.057
     518    1.684   -9.034    5.734
     519    2.336   -9.054    5.699
     520    2.284   -8.240    6.777
     521   -0.794   -9.078    8.113
     522    0.324   -9.246    6.389
     523    2.377   -8.565    5.461
     524   -3.368   -6.920    6.427
     525   -3.285   -8.298    6.629
     526   -1.554  -10.314    7.677
     527   -0.878   -9.769    6.343
     528   -0.936   -9.170    5.449
     529   -1.892   -9.480    6.390
     530   -0.702   -8.445    6.705
     531   -4.914   -9.243    8.762
     532   -1.075   -8.338    8.406
     533   -4.055   -8.024    8.109
     534   -1.565   -7.393    6.099
     535   -2.468  -11.187    8.888
     536   -1.985   -6.403    5.766
     537   -3.384   -9.607    8.409
     538   -6.165   -8.574    8.778
     539   -2.081  -10.773    8.536
     540   -1.554  -10.495    7.515
     541   -0.720  -10.073    5.850
     542   -5.192  -11.174    8.459
     543   -2.414   -8.205    6.688
     544   -3.434   -7.239    7.730
     545   -1.525  -11.218    7.133
     546   -4.010  -11.918    6.606
     547   -3.902   -7.730    7.130
     548   -3.596   -9.699    6.956
     549   -2.217   -8.125    5.596
     550   -1.167   -9.208    5.467
     551   -1.603   -7.769    7.588
     552   -5.279   -8.274    6.705
     553   -3.916   -7.063    6.772
     554   -2.821   -7.445    4.557
     555   -4.953   -8.286    6.688
     556   -3.603   -4.875    6.132
     557   -4.115   -7.895    6.109
     558   -1.715   -8.485    8.243
     559   -2.645   -9.493    6.888
     560   -1.359   -6.994    5.336
     561    0.716   -8.295    6.842
     562    1.059   -7.698    3.696
     563    4.282   -8.675    2.684
     564    3.083   -7.461    1.512
     565    4.673   -8.478   -0.242
     566    5.439   -8.609    1.324
     567    4.699   -7.184    1.516
     568    3.343   -7.218    0.450
     569    0.213   -8.618    2.822
     570    0.366   -7.098    2.839
     571   -2.264   -7.691    4.953
     572   -3.333   -5.228    4.223
     573   -0.039   -7.178    3.777
     574    0.732   -9.325    5.058
     575    2.417   -6.588    3.775
     576    0.580   -7.734    4.461
     577    1.018   -3.294    4.484
     578    1.093   -1.024    2.505
     579   -0.569   -5.673    5.261
     580   -0.008   -3.627    4.850
     581    0.928   -3.045    5.499
     582   -0.163   -3.012    5.929
     583   -2.254   -3.114    7.230
     584   -0.595   -4.832    7.674
     585    1.801   -4.536    7.016
     586    0.780   -6.411    8.790
     587    1.069   -4.843    7.052
     588    1.973   -3.332    5.242
     589    3.185   -3.400    6.331
     590    1.594   -2.876    6.660
     591    1.339    0.041    6.207
     592   -0.075   -1.440    6.180
     593    0.865    1.944    3.595
     594    1.041    0.944    5.347
     595    0.498    0.953    2.967
     596   -0.932   -1.669    4.311
     597   -0.596   -1.214    4.595
     598    1.499   -1.914    4.616
     599   -0.005   -1.636    5.042
     600    1.671   -2.975    5.433
     601   -0.720   -1.538    5.520
     602    1.636   -2.513    4.894
     603    1.267   -1.956    5.059
     604    2.067    1.032    1.494
     605    3.395   -1.443    5.021
     606    2.977   -1.406    4.800
     607    2.424   -3.463    4.076
     608    2.123   -2.707    3.536
     609    2.641   -3.214    2.199
     610    3.146   -0.953    1.799
     611    5.296   -0.164    2.167
     612    1.462    0.382    2.753
     613    1.856    0.112    2.774
     614   -0.271   -1.318    2.886
     615    1.379    0.989    2.536
     616    2.356    0.238    1.790
     617    1.294   -2.507    2.401
     618    1.197   -0.551    2.940
     619    2.289   -1.479    2.022
     620    3.595   -2.101    1.433
     621    3.204   -1.055    3.077
     622    5.385   -0.233    2.197
     623    2.261   -0.916    2.199
     624    3.414    0.530    1.468
     625    3.919   -1.461    1.617
     626    3.785   -1.610    3.093
     627    4.208   -0.848    1.681
     628    1.283   -1.707    4.852
     629    6.283    0.101    1.467
     630    2.351   -0.589    2.808
     631    6.802    0.825   -1.422
     632    5.671    0.740    0.863
     633    3.315   -0.865    2.987
     634    5.451    0.328    2.236
