#Frame      Mode1    Mode2    Mode3
     273   -0.681   -1.732   -0.359
     274   -0.665   -0.702    0.598
     275   -0.671   -1.682   -0.562
     276   -0.768    0.591   -0.007
     277   -3.030    0.509   -1.390
     278    1.185   -1.673    0.402
     279    0.856   -0.542   -1.233
     280    0.459   -0.415   -1.221
     281   -0.127    0.093    0.215
     282   -0.179   -1.007   -1.157
     283   -0.184   -0.960   -1.318
     284   -1.575   -2.484    1.003
     285   -1.277   -0.401    0.183
     286    0.391   -1.801   -0.772
     287    1.430   -0.610   -0.876
     288   -1.962   -0.396   -0.189
     289   -0.946   -0.902   -1.398
     290   -1.772   -2.564   -0.008
     291    0.591    1.417   -0.221
     292    0.709   -0.103   -0.355
     293   -1.064   -0.332    0.251
     294    1.429    0.011   -1.185
     295    1.534    1.375   -1.518
     296    0.112   -0.581   -1.528
     297   -0.778    1.267   -1.782
     298   -1.170   -2.674    0.397
     299    1.493   -0.226   -2.670
     300    0.943   -0.836   -0.619
     301    2.203   -1.461   -1.589
     302    1.565   -0.205   -1.010
     303    2.957   -0.754   -1.283
     304    1.609   -0.018    0.121
     305    2.065   -1.535   -0.981
     306    0.752   -1.233   -0.374
     307    0.874   -1.689   -1.245
     308    2.413   -1.751   -1.717
     309    0.396   -0.133   -1.861
     310    1.388   -1.321   -0.645
     311    1.285    0.204   -0.725
     312    0.524   -0.587   -0.925
     313    1.182   -0.784   -0.775
     314    0.371   -2.211    0.009
     315   -0.629   -0.197   -1.680
     316    0.492   -0.012   -2.079
     317   -1.356    2.465   -1.597
     318    0.462   -0.316   -1.877
     319    1.276    0.243   -1.254
     320    2.143   -0.489   -2.360
     321    0.678   -0.440    0.287
     322   -0.425    1.026   -0.523
     323    0.319    1.852   -0.590
     324   -1.072   -0.163   -0.703
     325    0.736    1.331   -2.662
     326    1.356    1.264   -1.617
     327   -0.527   -0.457   -1.868
     328    1.563    0.113   -1.606
     329    0.371    0.457   -0.443
     330    0.179   -0.056   -1.326
     331    0.325    1.516   -2.081
     332    2.342    0.249   -1.992
     333    0.651    0.864   -0.877
     334   -0.495   -0.328   -0.163
     335   -1.211   -0.481    0.642
     336   -0.186    0.189    0.182
     337   -0.032   -0.750    1.228
     338    2.900   -0.771   -0.826
     339    0.531   -0.786   -0.703
     340    2.004   -2.839   -1.105
     341    1.234   -2.294   -0.839
     342   -0.974   -0.306   -0.364
     343   -0.808   -1.679   -0.193
     344   -0.120   -0.657   -0.815
     345   -0.237   -2.328   -0.523
     346   -2.126   -2.821    0.962
     347    0.169    0.866   -0.344
     348   -1.237   -0.290    1.903
     349   -0.025   -1.542   -0.017
     350   -0.936   -0.806   -0.214
     351   -1.113   -1.714   -1.275
     352    0.794   -1.382   -1.307
     353    1.014   -0.633    0.222
     354    0.794   -0.080   -1.288
     355   -0.923    1.235    0.293
     356   -2.041   -0.472    0.279
     357   -0.986   -1.873    1.695
     358   -1.585   -1.188    2.841
     359   -0.085   -0.607    0.854
     360    0.110   -0.614    0.403
     361    1.521   -1.147    0.045
     362    1.273   -0.431   -0.880
     363    0.155    0.173    1.792
     364    0.664   -1.554    0.474
     365    1.715   -2.016   -0.586
     366    1.192   -0.603   -0.975
     367   -0.340   -2.484   -1.373
     368   -0.774   -0.009    0.917
     369   -1.079   -3.000    0.062
     370   -0.348   -0.763   -0.594
     371   -0.664    0.442   -1.799
     372   -1.672    0.800   -1.570
     373   -1.257   -0.290   -0.344
     374   -0.600   -0.268   -1.791
     375    1.450   -1.179   -0.824
     376   -0.192    0.235   -0.883
     377   -0.337   -1.843    0.164
     378    0.085    0.470   -0.546
     379   -0.316    1.456    0.792
     380    0.016   -0.163    0.441
     381   -0.338    1.454   -1.451
     382   -1.471   -0.315    1.416
     383    2.068   -0.196   -0.314
     384    1.436   -0.912   -0.877
     385    1.431   -1.922    0.931
     386    2.121   -0.894    0.074
     387    3.826   -1.443    0.231
     388    1.789   -0.233    0.819
     389    0.989    1.284    0.526
     390    1.895   -0.770    1.293
     391    1.904    0.474   -1.066
     392    0.545   -1.529   -0.624
     393    1.770   -0.832    0.445
     394    2.087   -0.386   -0.592
